@relation Pacific_Law_plastics_1-V3

@attribute ﻿Long(E) numeric
@attribute Lat(N) numeric
@attribute 'Plastic conc. (pieces/km2)' numeric

@data
-135.02,39.79,199859
-133.67,39.9,60749
-132.29,39.96,7422
-131.62,39.93,1403
-130.27,39.96,13799
-129.04,39.91,6998
-127.72,39.91,970
-118.41,33.58,2323
-118.9,33.03,404
-118.63,32.31,386
-119.72,32.1,452
-121.57,31.81,783
-123.88,32.19,3163
-124.41,32.63,12499
-125.58,33.02,21749
-126.77,33.47,4232
-127.77,33.47,89213
-128.55,32.96,3415
-129.3,32.79,83582
-130.07,32.69,41259
-130.87,32.71,327434
-130.87,32.72,218536
-130.86,32.61,6095
-131.55,32.95,41494
-131.62,33.03,291370
-132.45,33.51,154607
-132.45,33.48,806614
-132.71,33.56,11059
-133.46,33.7,31396
-133.69,33.78,31116
-134.27,33.9,279281
-134.28,33.92,161726
-134.72,33.88,47910
-135.44,33.57,12316946
-135.75,33.44,20384
-136.21,33.26,704613
-136.94,33.05,414075
-137.23,32.9,293951
-137.23,32.89,724209
-138.06,32.55,76329
-138.57,32.26,281349
-138.96,32.1,108179
-139.1,32.05,140222
-139.09,32.02,147894
-139.38,31.97,269637
-139.63,31.88,2178976
-139.58,31.91,296726
-139.97,31.68,22015
-140.34,31.32,123592
-140.33,31.31,62691
-140.44,30.99,68636
-140.56,30.66,94556
-140.62,30.48,153857
-140.68,30.26,336535
-140.73,30.14,2018858
-140.87,30.09,1943071
-141.21,30.14,1672405
-141.21,30.14,1477568
-141.55,30.1,141180
-142.03,30.01,14251
-142.31,30.02,68363
-142.67,30.01,136043
-143.2,30.03,44101
-143.6,30.05,20510
-143.97,30.03,52492
-144.02,30.04,47846
-144.21,30.03,77938
-144.55,30.01,16293
-144.79,30.01,85085
-145.06,30.07,195727
-145.26,30.16,120300
-145.28,30.21,97180
-145.53,30.27,45356
-145.75,30.42,267554
-145.75,30.43,275650
-145.63,30.05,1181602
-145.62,30.04,363021
-145.79,29.89,663457
-145.88,29.21,326004
-145.94,29.1,128620
-146.16,28.54,956211
-146.15,28.55,568786
-146.25,28.23,271392
-146.44,27.73,1415361
-146.78,27.03,1085124
-147.16,26.22,579882
-147.62,25.3,1142264
-147.63,25.32,70277
-147.76,25.02,120339
-148.3,24.51,78316
-148.76,24.17,141599
-149.11,23.91,78436
-150.29,22.89,6756
-150.78,22.52,58278
-151.03,22.3,6787
-151.42,21.95,6325
-151.71,21.66,5641
-152.02,21.39,20428
-152.35,21.14,17745
-153,20.61,12438
-153.52,20.28,1539
-153.81,20.09,5193
-154.11,19.77,4287
-157.92,20.68,399
-157.98,19.31,4086
-157.17,14.2,4848
-156.07,10.56,4535
-155.21,8.03,3343
-155.18,5.9,1544
-156.12,4.21,517
-157.9,0.59,1353
-158.06,-0.4,491
-157.85,-1.22,659
-153.76,-6.66,550
-153.21,-7.46,1817
-152.54,-8.22,1739
-152.05,-8.9,660
-151.53,-9.71,518
-151.08,-13.28,4689
-151.31,-13.85,629
-150.79,-17.11,752
